,u,v,key,osmid,oneway,length,geometry,name,highway,maxspeed,lanes,tunnel,service,landuse,width,access,bridge,area,ref,junction
1743,5278671127,4598826884,0,546216223,False,8.427,"LINESTRING (103.8909519 1.3968365, 103.8909888 1.3967703)",,footway,,,,,,,,,,,
1744,5278671127,5278671108,0,546216223,False,7.0969999999999995,"LINESTRING (103.8909519 1.3968365, 103.8909283 1.3968405, 103.8908888 1.3968462)",,footway,,,,,,,,,,,
1745,5278671128,5278671090,0,546216217,False,6.638,"LINESTRING (103.8908091 1.3968603, 103.8908168 1.3969195)",,footway,,,,,,,,,,,
1746,5278671128,4598826879,0,546216223,False,8.22,"LINESTRING (103.8908091 1.3968603, 103.8907496 1.3968164)",,footway,,,,,,,,,,,
1747,5278671128,5278671108,0,546216223,False,8.997,"LINESTRING (103.8908091 1.3968603, 103.8908888 1.3968462)",,footway,,,,,,,,,,,
1748,5278671133,5278671038,0,541818595,False,5.843,"LINESTRING (103.8922432 1.3896374, 103.8922237 1.3895886)",,footway,,,,,,,,,,,
1749,5278671133,4430972560,0,546216195,False,9.325,"LINESTRING (103.8922432 1.3896374, 103.8922071 1.3897131)",,footway,,,,,,,,,,,
1750,5278671133,5278671035,0,546216196,False,6.504,"LINESTRING (103.8922432 1.3896374, 103.8922986 1.3896186)",,footway,,,,,,,,,,,
1751,5278671132,5278671037,0,541818595,False,5.375,"LINESTRING (103.8921704 1.3894553, 103.8921883 1.3895002)",,footway,,,,,,,,,,,
1752,5278671132,4447803442,0,546216194,False,7.95,"LINESTRING (103.8921704 1.3894553, 103.8921041 1.3894285)",,footway,,,,,,,,,,,
1753,5278671132,5278671032,0,546216201,False,7.783,"LINESTRING (103.8921704 1.3894553, 103.8922367 1.3894328)",,footway,,,,,,,,,,,
1754,5278671154,5278671056,0,546216249,False,2.339,"LINESTRING (103.8896787 1.3906254, 103.8896592 1.3906175)",,footway,,,,,,,,,,,
1755,5278671154,5238938077,0,"[541818568, 541818589]",False,297.77500000000003,"LINESTRING (103.8896787 1.3906254, 103.8897111 1.3905753, 103.8897453 1.3905493, 103.8899314 1.3904776, 103.891127 1.3900675, 103.8918812 1.3898028, 103.8920563 1.3897428, 103.8921298 1.3897491, 103.8921804 1.3897692)",,footway,,,,,,,,,,,
1756,5278671154,5238938056,0,541818568,False,146.74900000000002,"LINESTRING (103.8896787 1.3906254, 103.8896617 1.3907094, 103.8896705 1.3907812, 103.8900675 1.391873)",,footway,,,,,,,,,,,
1757,5278671155,5278671053,0,546216252,False,10.779,"LINESTRING (103.8894499 1.3906334, 103.8895427 1.3906053)",,footway,,,,,,,,,,,
1758,5278671156,5278671056,0,546216249,False,8.113,"LINESTRING (103.8895914 1.3905905, 103.8896592 1.3906175)",,footway,,,,,,,,,,,
1759,5278671156,5278671050,0,546216254,False,8.225,"LINESTRING (103.8895914 1.3905905, 103.8895672 1.3905206)",,footway,,,,,,,,,,,
1760,5278671156,5278671053,0,546216252,False,5.659,"LINESTRING (103.8895914 1.3905905, 103.8895701 1.390597, 103.8895427 1.3906053)",,footway,,,,,,,,,,,
