,y,x,osmid,highway,ref,geometry
5218821355,1.4173752,103.9057151,5218821355,,,POINT (103.9057151 1.4173752)
5218821356,1.417418,103.906307,5218821356,,,POINT (103.906307 1.417418)
135079149,1.3973962,103.9025279,135079149,motorway_junction,10,POINT (103.9025279 1.3973962)
3782247664,1.4197211,103.913096,3782247664,,,POINT (103.913096 1.4197211)
369468656,1.3940845,103.9014472,369468656,traffic_signals,,POINT (103.9014472 1.3940845)
6244033776,1.3955525,103.8907275,6244033776,,,POINT (103.8907275 1.3955525)
5218821360,1.4170808,103.906349,5218821360,,,POINT (103.906349 1.4170808)
5218821362,1.4181046,103.906489,5218821362,,,POINT (103.906489 1.4181046)
5218821366,1.4185359,103.9064074,5218821366,,,POINT (103.9064074 1.4185359)
3782124791,1.4213428,103.9108379,3782124791,,,POINT (103.9108379 1.4213428)
3782124792,1.421338,103.9113037,3782124792,,,POINT (103.9113037 1.421338)
3782124793,1.4213755,103.9107642,3782124793,,,POINT (103.9107642 1.4213755)
5218821367,1.4188455,103.9068078,5218821367,,,POINT (103.9068078 1.4188455)
5218821372,1.4184772,103.9066477,5218821372,traffic_signals,,POINT (103.9066477 1.4184772)
5218821373,1.4185515,103.9066794,5218821373,traffic_signals,,POINT (103.9066794 1.4185515)
4056605960,1.4156564,103.9174104,4056605960,,,POINT (103.9174104 1.4156564)
4056605961,1.4153865,103.9171015,4056605961,,,POINT (103.9171015 1.4153865)
135079181,1.3951674,103.9058425,135079181,motorway_junction,9,POINT (103.9058425 1.3951674)
2019165453,1.4041775,103.9024009,2019165453,,,POINT (103.9024009 1.4041775)
5218821390,1.417205,103.906106,5218821390,,,POINT (103.906106 1.417205)
5218518289,1.3989872,103.9171648,5218518289,,,POINT (103.9171648 1.3989872)
5218518293,1.3989178,103.9170683,5218518293,,,POINT (103.9170683 1.3989178)
368207126,1.3957119,103.8873835,368207126,,,POINT (103.8873835 1.3957119)
368207127,1.3956911,103.8875498,368207127,,,POINT (103.8875498 1.3956911)
5218518296,1.3988551,103.9170484,5218518296,,,POINT (103.9170484 1.3988551)
5218518306,1.3989645,103.916979,5218518306,,,POINT (103.916979 1.3989645)
5218518308,1.399833,103.9157303,5218518308,,,POINT (103.9157303 1.399833)
5218518309,1.399954,103.9158193,5218518309,,,POINT (103.9158193 1.399954)
4005070124,1.4090692,103.8968224,4005070124,,,POINT (103.8968224 1.4090692)
5218518319,1.400005,103.9154856,5218518319,,,POINT (103.9154856 1.400005)
6650955062,1.3929498,103.9122789,6650955062,,,POINT (103.9122789 1.3929498)
6650955063,1.3927087,103.9120662,6650955063,,,POINT (103.9120662 1.3927087)
4005070135,1.4090882,103.8970106,4005070135,,,POINT (103.8970106 1.4090882)
5253481782,1.3830205,103.8800448,5253481782,,,POINT (103.8800448 1.3830205)
5928314171,1.3936507,103.8923252,5928314171,,,POINT (103.8923252 1.3936507)
2274878780,1.3996064,103.9053896,2274878780,,,POINT (103.9053896 1.3996064)
5928314173,1.3935672,103.8921992,5928314173,,,POINT (103.8921992 1.3935672)
5928314174,1.3935336,103.8922826,5928314174,,,POINT (103.8922826 1.3935336)
7174407487,1.3839216,103.9022015,7174407487,,,POINT (103.9022015 1.3839216)
5928314177,1.393715,103.8923519,5928314177,,,POINT (103.8923519 1.393715)
