,osmid,geometry,x,y,highway,ref
6192761642,6192761642,POINT (103.9057783 1.388492899999985),103.9057783,1.3884929,,
6192761646,6192761646,POINT (103.9058569 1.391423699999995),103.9058569,1.3914237,,
6192761647,6192761647,POINT (103.9057247 1.391417899999993),103.9057247,1.3914179,,
6192761650,6192761650,POINT (103.9059578 1.391298399999981),103.9059578,1.3912984,,
6192761655,6192761655,POINT (103.9054664 1.392201599999995),103.9054664,1.3922016,crossing,
6192761657,6192761657,POINT (103.9012104 1.394033799999994),103.9012104,1.3940338,crossing,
6192761658,6192761658,POINT (103.9011586 1.394050699999984),103.9011586,1.3940507,,
6192761665,6192761665,POINT (103.900768 1.394627199999984),103.900768,1.3946272,,
5928127300,5928127300,POINT (103.8912182 1.396660899999989),103.8912182,1.3966609,,
5928127308,5928127308,POINT (103.8917985 1.396485399999989),103.8917985,1.3964854,,
5928127315,5928127315,POINT (103.8919026 1.396762999999996),103.8919026,1.396763,,
5928127309,5928127309,POINT (103.8924013 1.396275399999976),103.8924013,1.3962754,,
6895384442,6895384442,POINT (103.904383 1.392772900000001),103.904383,1.3927729,,
1988168554,1988168554,POINT (103.9258285 1.392514599999983),103.9258285,1.3925146,,
1988168584,1988168584,POINT (103.9251687 1.392846599999983),103.9251687,1.3928466,,
1988168675,1988168675,POINT (103.924617 1.393796099999986),103.924617,1.3937961,,
1988168683,1988168683,POINT (103.9256134 1.393848199999988),103.9256134,1.3938482,,
1988168707,1988168707,POINT (103.9263299 1.393905000000001),103.9263299,1.393905,,
1988168711,1988168711,POINT (103.9257907 1.394371699999996),103.9257907,1.3943717,,
1988168715,1988168715,POINT (103.9252165 1.394338599999991),103.9252165,1.3943386,,
1988168738,1988168738,POINT (103.9265059 1.394396700000003),103.9265059,1.3943967,,
1988168745,1988168745,POINT (103.9257126 1.394479199999991),103.9257126,1.3944792,,
1988168747,1988168747,POINT (103.9253872 1.394542499999983),103.9253872,1.3945425,,
1988168834,1988168834,POINT (103.9272988 1.396561799999988),103.9272988,1.3965618,,
1988168846,1988168846,POINT (103.9306546 1.397065099999992),103.9306546,1.3970651,,
5917576342,5917576342,POINT (103.8925163 1.386220800000001),103.8925163,1.3862208,,
5917576344,5917576344,POINT (103.8925136 1.386377399999985),103.8925136,1.3863774,,
1988168870,1988168870,POINT (103.9270845 1.39810879999998),103.9270845,1.3981088,,
4004973751,4004973751,POINT (103.8953323 1.401826599999973),103.8953323,1.4018266,,
4004973757,4004973757,POINT (103.8958051 1.402090699999987),103.8958051,1.4020907,,
4004973769,4004973769,POINT (103.8903424 1.40219129999999),103.8903424,1.4021913,,
4004973776,4004973776,POINT (103.8953461 1.402201499999991),103.8953461,1.4022015,,
4004973796,4004973796,POINT (103.8956514 1.401976899999989),103.8956514,1.4019769,,
4004973797,4004973797,POINT (103.8957296 1.402033700000001),103.8957296,1.4020337,,
4004973808,4004973808,POINT (103.8952368 1.402217899999993),103.8952368,1.4022179,,
4004973820,4004973820,POINT (103.8929434 1.40223149999999),103.8929434,1.4022315,,
4004973872,4004973872,POINT (103.8923669 1.402324299999993),103.8923669,1.4023243,,
5991894321,5991894321,POINT (103.9218262 1.386201999999994),103.9218262,1.386202,,
5220601149,5220601149,POINT (103.9112965 1.407095399999986),103.9112965,1.4070954,,
5220601150,5220601150,POINT (103.9115442 1.407474299999987),103.9115442,1.4074743,,
5220601151,5220601151,POINT (103.9104594 1.407453800000001),103.9104594,1.4074538,,
5220601177,5220601177,POINT (103.9102277 1.420158599999993),103.9102277,1.4201586,,
5220601182,5220601182,POINT (103.9099406 1.420309299999979),103.9099406,1.4203093,,
5863220853,5863220853,POINT (103.9114299 1.4132747),103.9114299,1.4132747,,
5863220855,5863220855,POINT (103.9112395 1.41330759999999),103.9112395,1.4133076,,
5863220859,5863220859,POINT (103.9140526 1.410454199999996),103.9140526,1.4104542,,
5863220860,5863220860,POINT (103.913902 1.411036699999983),103.913902,1.4110367,,
4004974000,4004974000,POINT (103.8904219 1.402635799999991),103.8904219,1.4026358,,
5177282022,5177282022,POINT (103.9000656 1.404481300000002),103.9000656,1.4044813,,
5177282023,5177282023,POINT (103.9001003 1.404576399999986),103.9001003,1.4045764,,
5177282024,5177282024,POINT (103.9002214 1.40450359999999),103.9002214,1.4045036,,
5177282025,5177282025,POINT (103.9001752 1.404382799999991),103.9001752,1.4043828,,
5177282030,5177282030,POINT (103.902788 1.402256199999991),103.902788,1.4022562,,
6408769014,6408769014,POINT (103.9028311 1.38924699999999),103.9028311,1.389247,,
5177282037,5177282037,POINT (103.902586 1.401889599999988),103.902586,1.4018896,,
5177282038,5177282038,POINT (103.9028007 1.402279199999993),103.9028007,1.4022792,,
5177282039,5177282039,POINT (103.9026262 1.402382099999995),103.9026262,1.4023821,,
5177282040,5177282040,POINT (103.9025131 1.402343799999998),103.9025131,1.4023438,,
5177282041,5177282041,POINT (103.9023996 1.402411699999989),103.9023996,1.4024117,,
5177282042,5177282042,POINT (103.9014912 1.401811999999989),103.9014912,1.401812,,
5177282043,5177282043,POINT (103.9015454 1.401965099999985),103.9015454,1.4019651,,
5177282044,5177282044,POINT (103.9012311 1.402580199999977),103.9012311,1.4025802,,
3048541703,3048541703,POINT (103.9062771 1.405608799999987),103.9062771,1.4056088,,
3048541704,3048541704,POINT (103.9061806 1.405401799999999),103.9061806,1.4054018,,
4004974089,4004974089,POINT (103.8938732 1.403229899999989),103.8938732,1.4032299,,
4004974090,4004974090,POINT (103.8938505 1.4032334),103.8938505,1.4032334,,
4004974091,4004974091,POINT (103.8959348 1.403424799999995),103.8959348,1.4034248,,
4004974092,4004974092,POINT (103.8928442 1.403411699999996),103.8928442,1.4034117,,
4004974094,4004974094,POINT (103.8939345 1.403743699999997),103.8939345,1.4037437,,
5177282073,5177282073,POINT (103.901377 1.402041099999998),103.901377,1.4020411,,
5282663996,5282663996,POINT (103.8897658 1.392064599999981),103.8897658,1.3920646,,
5282663997,5282663997,POINT (103.8898924 1.392010199999985),103.8898924,1.3920102,,
6038548010,6038548010,POINT (103.8953243 1.393797299999981),103.8953243,1.3937973,,
6038548011,6038548011,POINT (103.8955318 1.393727099999992),103.8955318,1.3937271,,
1841630838,1841630838,POINT (103.9289617 1.40172479999998),103.9289617,1.4017248,,
4698082936,4698082936,POINT (103.904323 1.410533699999985),103.904323,1.4105337,,
1841630843,1841630843,POINT (103.928514 1.402127799999992),103.928514,1.4021278,,
1841630844,1841630844,POINT (103.9284419 1.402177500000004),103.9284419,1.4021775,,
1841630841,1841630841,POINT (103.9285912 1.402103799999991),103.9285912,1.4021038,,
1841630840,1841630840,POINT (103.9286478 1.402012899999995),103.9286478,1.4020129,,
1841630854,1841630854,POINT (103.9270043 1.403415799999997),103.9270043,1.4034158,,
1841630856,1841630856,POINT (103.9269151 1.40343119999999),103.9269151,1.4034312,,
1841630860,1841630860,POINT (103.9271227 1.403463800000003),103.9271227,1.4034638,,
1841630858,1841630858,POINT (103.9276837 1.403448399999992),103.9276837,1.4034484,,
1841630865,1841630865,POINT (103.9268345 1.403489499999981),103.9268345,1.4034895,,
1841630866,1841630866,POINT (103.9274744 1.403494699999986),103.9274744,1.4034947,,
1841630867,1841630867,POINT (103.9267573 1.403587299999992),103.9267573,1.4035873,,
1841630870,1841630870,POINT (103.9267007 1.403645599999998),103.9267007,1.4036456,,
4587589271,4587589271,POINT (103.9189873 1.39785709999999),103.9189873,1.3978571,,
4587589274,4587589274,POINT (103.9189459 1.398312799999996),103.9189459,1.3983128,,
4587589275,4587589275,POINT (103.9185163 1.3976918),103.9185163,1.3976918,,
4587589278,4587589278,POINT (103.9190383 1.397714499999992),103.9190383,1.3977145,,
4587589279,4587589279,POINT (103.9187584 1.398306300000002),103.9187584,1.3983063,,
4587589282,4587589282,POINT (103.9184148 1.398266299999985),103.9184148,1.3982663,,
4587589283,4587589283,POINT (103.9183691 1.398138700000002),103.9183691,1.3981387,,
4587589286,4587589286,POINT (103.918396 1.397798899999989),103.918396,1.3977989,,
1841630878,1841630878,POINT (103.9252493 1.403762199999991),103.9252493,1.4037622,,
1841630880,1841630880,POINT (103.9249714 1.403832499999992),103.9249714,1.4038325,,
1841630884,1841630884,POINT (103.9243812 1.404055499999979),103.9243812,1.4040555,,
1841630886,1841630886,POINT (103.9307095 1.404091299999996),103.9307095,1.4040913,,
1841630888,1841630888,POINT (103.9241222 1.404192699999994),103.9241222,1.4041927,,
1841630890,1841630890,POINT (103.9302467 1.404499699999998),103.9302467,1.4044997,,
1841630892,1841630892,POINT (103.9235441 1.404588899999986),103.9235441,1.4045889,,
1841630895,1841630895,POINT (103.9233228 1.404791199999989),103.9233228,1.4047912,,
1841630897,1841630897,POINT (103.9227566 1.405478899999987),103.9227566,1.4054789,,
1841630899,1841630899,POINT (103.9222454 1.406278199999982),103.9222454,1.4062782,,
1841630904,1841630904,POINT (103.921717 1.406751499999988),103.921717,1.4067515,,
1841630905,1841630905,POINT (103.9211577 1.407034500000001),103.9211577,1.4070345,,
1841630906,1841630906,POINT (103.9209261 1.407116800000008),103.9209261,1.4071168,,
1841630907,1841630907,POINT (103.9204218 1.407247099999995),103.9204218,1.4072471,,
1841630909,1841630909,POINT (103.9201353 1.40736549999999),103.9201353,1.4073655,,
1841630911,1841630911,POINT (103.9195915 1.4076948),103.9195915,1.4076948,,
1841630913,1841630913,POINT (103.9193376 1.40788509999999),103.9193376,1.4078851,,
1841630915,1841630915,POINT (103.9261963 1.4082316),103.9261963,1.4082316,,
1841630917,1841630917,POINT (103.9258274 1.408591699999988),103.9258274,1.4085917,,
1841630919,1841630919,POINT (103.9255495 1.408943299999999),103.9255495,1.4089433,,
1841630921,1841630921,POINT (103.9253368 1.409179999999997),103.9253368,1.40918,,
1841630923,1841630923,POINT (103.925191 1.409311999999995),103.925191,1.409312,,
4715318989,4715318989,POINT (103.8969648 1.387856899999994),103.8969648,1.3878569,,
4715318992,4715318992,POINT (103.8966104 1.387723399999993),103.8966104,1.3877234,,
1841630924,1841630924,POINT (103.9249165 1.409524699999992),103.9249165,1.4095247,,
1841630925,1841630925,POINT (103.9243006 1.410080399999997),103.9243006,1.4100804,,
1841630926,1841630926,POINT (103.924292 1.410124899999991),103.924292,1.4101249,,
1841630927,1841630927,POINT (103.9242697 1.410207299999988),103.9242697,1.4102073,,
1841630928,1841630928,POINT (103.9241874 1.410334199999979),103.9241874,1.4103342,,
1841630929,1841630929,POINT (103.9225216 1.411827999999996),103.9225216,1.411828,,
1841630930,1841630930,POINT (103.9218217 1.412308199999988),103.9218217,1.4123082,,
1841630931,1841630931,POINT (103.9215815 1.412436799999996),103.9215815,1.4124368,,
1841630932,1841630932,POINT (103.9211337 1.412584299999999),103.9211337,1.4125843,,
1841630933,1841630933,POINT (103.9209159 1.412699199999992),103.9209159,1.4126992,,
1841630934,1841630934,POINT (103.9205625 1.4129678),103.9205625,1.4129678,,
1841630935,1841630935,POINT (103.9196843 1.413571699999988),103.9196843,1.4135717,,
1841630936,1841630936,POINT (103.9192791 1.413919299999989),103.9192791,1.4139193,,
1841630937,1841630937,POINT (103.9183579 1.414917499999992),103.9183579,1.4149175,,
1841630938,1841630938,POINT (103.9182618 1.41503579999999),103.9182618,1.4150358,,
1841630939,1841630939,POINT (103.9181574 1.415126000000005),103.9181574,1.415126,,
1841630940,1841630940,POINT (103.9175609 1.415618999999996),103.9175609,1.415619,,
1841630941,1841630941,POINT (103.9175105 1.415650599999988),103.9175105,1.4156506,,
1841630942,1841630942,POINT (103.9174978 1.415699699999993),103.9174978,1.4156997,,
1841630943,1841630943,POINT (103.9174996 1.415735499999985),103.9174996,1.4157355,,
1841630944,1841630944,POINT (103.9176134 1.415868399999997),103.9176134,1.4158684,,
1841630945,1841630945,POINT (103.91734 1.416083599999983),103.91734,1.4160836,,
1841630947,1841630947,POINT (103.9150468 1.416546799999995),103.9150468,1.4165468,,
1841630949,1841630949,POINT (103.9150742 1.416691699999992),103.9150742,1.4166917,,
1841630950,1841630950,POINT (103.9151594 1.416933399999986),103.9151594,1.4169334,,
1841630951,1841630951,POINT (103.9151599 1.416958200000006),103.9151599,1.4169582,,
5218373409,5218373409,POINT (103.9086517 1.390318199999981),103.9086517,1.3903182,,
369168177,369168177,POINT (103.8993273 1.398600999999999),103.8993273,1.398601,,
4724494208,4724494208,POINT (103.9033372 1.385835899999993),103.9033372,1.3858359,,
5683941254,5683941254,POINT (103.9193813 1.397710699999996),103.9193813,1.3977107,,
4430972257,4430972257,POINT (103.9072858 1.386801999999998),103.9072858,1.386802,,
3057389633,3057389633,POINT (103.9175141 1.396284600000001),103.9175141,1.3962846,,
3057389634,3057389634,POINT (103.9177085 1.396138999999992),103.9177085,1.396139,,
5684007129,5684007129,POINT (103.9038259 1.415592899999977),103.9038259,1.4155929,,
5218373926,5218373926,POINT (103.909075 1.390080699999991),103.909075,1.3900807,,
5218373930,5218373930,POINT (103.9095801 1.390574599999988),103.9095801,1.3905746,,
3057389878,3057389878,POINT (103.9172982 1.395601399999988),103.9172982,1.3956014,,
5218373956,5218373956,POINT (103.909374 1.389024199999985),103.909374,1.3890242,,
1754665300,1754665300,POINT (103.9034186 1.41128209999999),103.9034186,1.4112821,,
1754665303,1754665303,POINT (103.9036568 1.411110299999992),103.9036568,1.4111103,,
1754665306,1754665306,POINT (103.9039184 1.411379800000002),103.9039184,1.4113798,,
5286793647,5286793647,POINT (103.916832 1.408837100000006),103.916832,1.4088371,,
2083328528,2083328528,POINT (103.8957396 1.399005900000002),103.8957396,1.3990059,,
2083328532,2083328532,POINT (103.895511 1.398866099999988),103.895511,1.3988661,,
6791696919,6791696919,POINT (103.9013068 1.393597799999987),103.9013068,1.3935978,,
2083328564,2083328564,POINT (103.8956561 1.400527699999989),103.8956561,1.4005277,,
4010873523,4010873523,POINT (103.9167071 1.403483299999982),103.9167071,1.4034833,,
369169123,369169123,POINT (103.9007885 1.398069299999993),103.9007885,1.3980693,,
4587590401,4587590401,POINT (103.9204588 1.400321599999989),103.9204588,1.4003216,,
4587590412,4587590412,POINT (103.9187428 1.398039599999982),103.9187428,1.3980396,traffic_signals,
