,u,v,key,osmid,oneway,length,geometry,name,highway,maxspeed,lanes,tunnel,landuse,service,access,area,bridge,ref,junction,width
89,4433708165,4433708160,0,613183177,True,14.916,"LINESTRING (103.8975647 1.391221599999984, 103.8975212 1.391094699999999)",Compassvale Bus Interchange,service,,,,,driveway,no,,,,,
90,4433708165,4433708166,0,446035347,True,16.868,"LINESTRING (103.8975647 1.391221599999984, 103.8977071 1.391169199999993)",,service,,,,,driveway,no,,,,,
91,4433708166,3063313593,0,"[627967104, 635752627]",True,30.293,"LINESTRING (103.8977071 1.391169199999993, 103.8977192 1.391207599999995, 103.8977931 1.391427699999982)",Compassvale Road,tertiary,50,"['4', '2']",,,,,,,,,
92,4433708168,4433708160,0,446035348,True,16.627,"LINESTRING (103.8976622 1.39104479999999, 103.8975212 1.391094699999999)",,service,,,,,driveway,no,,,,,
93,4433708168,4433708166,0,646880491,True,14.706,"LINESTRING (103.8976622 1.39104479999999, 103.8977071 1.391169199999993)",Compassvale Road,tertiary,50,2,,,,,,,,,
94,5177279656,4697941878,0,655184948,True,73.632,"LINESTRING (103.9072297 1.402310799999992, 103.9077716 1.401929999999989)",Punggol Central,tertiary,60,3,,,,,,,,,
95,5177279657,5177279656,0,533688217,True,15.205,"LINESTRING (103.9073076 1.402423199999985, 103.9072297 1.402310799999992)",,service,,1,,,,,,,,,
96,5177279658,5177279657,0,646205391,False,8.685,"LINESTRING (103.9072441 1.402468699999991, 103.9073076 1.402423199999985)",,service,,2,,,,,,,,,
97,5177279659,5177279656,0,655184948,True,9.795,"LINESTRING (103.9071575 1.402361299999994, 103.9072297 1.402310799999992)",Punggol Central,tertiary,60,3,,,,,,,,,
98,5177279659,5177279658,0,533688218,True,15.339,"LINESTRING (103.9071575 1.402361299999994, 103.9072441 1.402468699999991)",,service,,1,,,,,,,,,
99,5177279660,5177279657,0,646205390,False,40.933,"LINESTRING (103.907607 1.402208899999994, 103.9073076 1.402423199999985)",,service,,2,,,,,,,,,
100,5177279670,5177279658,0,"[776647814, 646210318]",False,187.602,"LINESTRING (103.9068835 1.403778499999994, 103.9067776 1.403529999999989, 103.9066986 1.403265799999984, 103.9066005 1.403014399999989, 103.9066006 1.40297429999999, 103.9066121 1.402936199999991, 103.9066356 1.402893599999995, 103.906666 1.402865599999989, 103.9067145 1.402824999999989, 103.9070888 1.402565399999977, 103.9072441 1.402468699999991)",,service,,2,,,,,,,,,
101,5177279670,5177279669,0,646210644,False,173.257,"LINESTRING (103.9068835 1.403778499999994, 103.908157 1.402880199999981)",,service,,2,,,,,,,,,
102,5177279672,5177279668,0,533688220,False,181.145,"LINESTRING (103.9073154 1.4046234, 103.9086397 1.403674099999989)",,service,,2,,,,,,,,,
103,5177279672,9990000063,0,5177279672_9990000063,False,16.09294812518058,"LINESTRING (103.9073154 1.4046234, 103.9072410484011 1.404499457420606)",,service,,2,,,,,,,,,
104,5177279697,5177279697,0,533688223,True,44.556000000000004,"LINESTRING (103.8991167 1.404785399999986, 103.8990957 1.404774699999985, 103.8990722 1.40477239999998, 103.8990495 1.404778599999992, 103.8990306 1.404792699999987, 103.899018 1.404812599999979, 103.8990135 1.404835699999987, 103.8990176 1.404858899999989, 103.8990299 1.40487909999999, 103.8990486 1.404893399999986, 103.8990712 1.404900099999981, 103.8990947 1.404898099999986, 103.8991159 1.404887799999988, 103.8991319 1.404870499999979, 103.8991406 1.404848599999991, 103.8991408 1.404824999999995, 103.8991325 1.404802999999983, 103.8991167 1.404785399999986)",,service,,,,,driveway,private,,,,,
105,5177279709,5177279707,0,646212028,False,39.713,"LINESTRING (103.8992239 1.40614099999998, 103.8992152 1.406132299999999, 103.8991109 1.405803599999974)",,service,,,,,driveway,private,,,,,
106,2019165453,4598672210,0,325024333,True,86.192,"LINESTRING (103.9024009 1.40417749999999, 103.9026193 1.404598399999996, 103.9026671 1.4046228, 103.9028788 1.404494799999985)",,service,,,,,driveway,no,,,,,
107,3782025045,3782025044,0,374822604,False,27.784,"LINESTRING (103.9237648 1.410693899999993, 103.9239791 1.410565299999996)",,,,,,,,,,,,,
108,3782025045,3782025044,1,374829693,False,27.784,"LINESTRING (103.9237648 1.410693899999993, 103.9239791 1.410565299999996)",Coastline of Singapore,,,,,,,,,,,,
