,u,v,key,osmid,lanes,highway,oneway,length,geometry,service,name,maxspeed,width,bridge,tunnel,access,ref,junction
1382,3789907076,4042301481,0,375638841,,cycleway,False,84.36699999999999,"LINESTRING (103.9169607 1.4158798, 103.9168842 1.41591, 103.9168221 1.4159233, 103.91673 1.4159261, 103.9166727 1.4159369, 103.9163019 1.4161403, 103.9162678 1.4161608)",,,,,,,,,
1383,3789907076,4056605961,0,375638843,,cycleway,False,59.724000000000004,"LINESTRING (103.9169607 1.4158798, 103.9169419 1.4158182, 103.9169499 1.4157324, 103.9169687 1.4156077, 103.9169982 1.4155313, 103.9170451 1.4154521, 103.9171015 1.4153865)",,,,,,,,,
1384,3789907076,4042301480,0,375638843,,cycleway,False,38.502,"LINESTRING (103.9169607 1.4158798, 103.917021 1.4159281, 103.9171149 1.4159764, 103.9171645 1.416034, 103.9171803 1.41612)",,,,,,,,,
1385,4433708165,4433708166,0,446035347,,service,True,16.868,"LINESTRING (103.8975647 1.3912216, 103.8977071 1.3911692)",driveway,,,,,,no,,
1386,4433708165,4433708160,0,613183177,,service,True,14.916,"LINESTRING (103.8975647 1.3912216, 103.8975212 1.3910947)",driveway,Compassvale Bus Interchange,,,,,no,,
1387,4433708166,3063313593,0,"[627967104, 635752627]","['4', '2']",tertiary,True,30.293,"LINESTRING (103.8977071 1.3911692, 103.8977192 1.3912076, 103.8977931 1.3914277)",,Compassvale Road,50,,,,,,
1388,6748816518,5214838717,0,538817908,2,service,False,99.074,"LINESTRING (103.8903956 1.3824427, 103.8909873 1.383109)",,,,,,,,,
1389,6748816518,410474370,0,718755619,,footway,False,106.438,"LINESTRING (103.8903956 1.3824427, 103.8896607 1.3830563)",,,,1,,,,,
1390,3789907080,5648977387,0,375638842,,cycleway,False,16.308,"LINESTRING (103.9157353 1.4163538, 103.9156939 1.4164945)",,,,,,,,,
1391,3789907080,4042301481,0,375638841,,cycleway,False,67.142,"LINESTRING (103.9157353 1.4163538, 103.9157966 1.4163853, 103.9158656 1.4163913, 103.9159272 1.4163739, 103.9162678 1.4161608)",,,,,,,,,
1392,3789907080,5648977397,0,531821206,,cycleway,False,33.230000000000004,"LINESTRING (103.9157353 1.4163538, 103.9156256 1.4162988, 103.9155131 1.4162466, 103.9154868 1.4162396, 103.915462 1.4162425)",,,,,,,,,
1393,4433708168,4433708160,0,446035348,,service,True,16.627,"LINESTRING (103.8976622 1.3910448, 103.8975212 1.3910947)",driveway,,,,,,no,,
1394,4433708168,4433708166,0,646880491,2,tertiary,True,14.706,"LINESTRING (103.8976622 1.3910448, 103.8977071 1.3911692)",,Compassvale Road,50,,,,,,
1395,5177230474,5177230475,0,533682311,,service,False,22.879,"LINESTRING (103.8891239 1.3862545, 103.8893081 1.3861627)",parking_aisle,,,,,,,,
1396,5177230474,5256544303,0,"[533682312, 533682315]",,service,True,56.266000000000005,"LINESTRING (103.8891239 1.3862545, 103.8890436 1.386129, 103.8890375 1.3861202, 103.8890288 1.3861176, 103.8890187 1.3861176, 103.8887414 1.3862913)",parking_aisle,,,,,,,,
1397,5177230475,5177230474,0,533682311,,service,False,22.879,"LINESTRING (103.8893081 1.3861627, 103.8891239 1.3862545)",parking_aisle,,,,,,,,
1398,5177230475,5177230481,0,646200083,,service,False,34.683,"LINESTRING (103.8893081 1.3861627, 103.8891402 1.3858998)",,,,,,,,,
1399,5177230475,5177230487,0,533682318,,service,False,147.293,"LINESTRING (103.8893081 1.3861627, 103.8895934 1.3866422, 103.8896009 1.3866585, 103.8896037 1.3866805, 103.8896001 1.3866995, 103.889589 1.3867192, 103.8890067 1.3870796)",,,,,,,,,
1400,5177230477,5177230480,0,533682316,,service,False,36.635,"LINESTRING (103.8873589 1.386603, 103.8875378 1.3868797)",,,,,,,,,
1401,5177230478,5177230481,0,646200720,,service,False,163.266,"LINESTRING (103.8904747 1.3852866, 103.8891402 1.3858998)",,,,,,,,,
1402,3789907087,3789907104,0,375638843,,cycleway,False,142.652,"LINESTRING (103.9179786 1.4144547, 103.9180604 1.4143153, 103.9180765 1.4142388, 103.9181019 1.4141235, 103.9181288 1.4140753, 103.9181676 1.4140498, 103.918228 1.414035, 103.9183608 1.414019, 103.9184251 1.4139854, 103.9185311 1.4138849, 103.9185861 1.4138755, 103.9186494 1.4138854, 103.9187671 1.4139305, 103.9188221 1.4139278, 103.9189201 1.4138822)",,,,,,,,,
1403,3789907087,4042303093,0,375638843,,cycleway,False,117.887,"LINESTRING (103.9179786 1.4144547, 103.9174276 1.4151358, 103.9172944 1.4152631)",,,,,,,,,
1404,3789907087,4056605960,0,455736168,,path,False,224.05200000000002,"LINESTRING (103.9179786 1.4144547, 103.9180823 1.4146056, 103.9181855 1.4146197, 103.9182238 1.4146921, 103.9183143 1.4147075, 103.9184015 1.4147464, 103.9182995 1.4148583, 103.918207 1.4149401, 103.9181674 1.4149703, 103.9180876 1.4150393, 103.9179616 1.4150474, 103.9178838 1.415097, 103.917861 1.4151238, 103.917798 1.4152351, 103.9177309 1.4153289, 103.917688 1.4153678, 103.9175901 1.4153812, 103.917452 1.4154576, 103.9174694 1.4155622, 103.9174104 1.4156564)",,,,,,,,,
1405,5177230480,5177230477,0,533682316,,service,False,36.635,"LINESTRING (103.8875378 1.3868797, 103.8873589 1.386603)",,,,,,,,,
1406,5177230480,5177230488,0,656197762,,service,False,105.052,"LINESTRING (103.8875378 1.3868797, 103.8880507 1.3876732)",,,,,,,,,
1407,5177230480,5177230481,0,533682317,,service,False,208.832,"LINESTRING (103.8875378 1.3868797, 103.8889874 1.3859838, 103.8891402 1.3858998)",,,,,,,,,
1408,5177230481,5177230475,0,646200083,,service,False,34.683,"LINESTRING (103.8891402 1.3858998, 103.8893081 1.3861627)",,,,,,,,,
1409,5177230481,5177230478,0,646200720,,service,False,163.266,"LINESTRING (103.8891402 1.3858998, 103.8904747 1.3852866)",,,,,,,,,
1410,5177230481,5177230480,0,533682317,,service,False,208.832,"LINESTRING (103.8891402 1.3858998, 103.8889874 1.3859838, 103.8875378 1.3868797)",,,,,,,,,
1411,5177230487,5889966096,0,647096289,,service,False,27.428,"LINESTRING (103.8890067 1.3870796, 103.8887977 1.3872107)",,,,,,,,,
1412,5177230487,5177230475,0,533682318,,service,False,147.293,"LINESTRING (103.8890067 1.3870796, 103.889589 1.3867192, 103.8896001 1.3866995, 103.8896037 1.3866805, 103.8896009 1.3866585, 103.8895934 1.3866422, 103.8893081 1.3861627)",,,,,,,,,
1413,3600770200,369173840,0,175015683,2,motorway_link,True,158.694,"LINESTRING (103.8966835 1.4003058, 103.8977419 1.3999277, 103.8980199 1.3998056)",,,50,,,,,,
1414,3600770201,3600770200,0,500370976,2,motorway_link,True,52.131,"LINESTRING (103.8962338 1.4004388, 103.8966835 1.4003058)",,,50,,,,,,
1415,3600770201,242998739,0,32775483,4,primary,True,120.61099999999999,"LINESTRING (103.8962338 1.4004388, 103.8960573 1.3999934, 103.8959023 1.39955, 103.8958661 1.399419)",,Punggol Way,60,,yes,,,,
1416,5177230488,5889966096,0,646201025,,service,False,97.674,"LINESTRING (103.8880507 1.3876732, 103.8887977 1.3872107)",,,,,,,,,
